lei,name,adviser_name,adviser_crd,adviser_type
YSGYVERBS8JR1P1FNU59,HUDSON BAY MASTER FUND LTD.,HUDSON BAY CAPITAL MANAGEMENT LP,155910,RIA
549300DRNFYJM607RV44,"BWTA TRADING FUND I, LTD.",,,
54930084QDBXW3S5UL45,PIMCO Absolute Return Strategy 3 Master Fund LDC,,,
549300ENXSPHS8YMM795,"EP TACTICAL PORTFOLIOS, L.P.",,,
549300TI6LLQ2EXI0I03,"MKP ALPHA PORT, LTD.","MKP CAPITAL MANAGEMENT, L.L.C.",113851,RIA
CZY82BQ8KR2FQON3XB68,AQR GRP EL 20 MASTER ACCOUNT LTD.,"AQR CAPITAL MANAGEMENT, LLC",111883,RIA
5493004R2EUSSAU2QO74,Biwa Fund Limited,,,
549300Y3PT2YEHXVTK27,BYBROOK CAPITAL BADMINTON FUND LP,,,
549300OBVCWNZJXN8219,PIMCO ABSOLUTE RETURN STRATEGY 3E MASTER FUND LDC,PACIFIC INVESTMENT MANAGEMENT COMPANY LLC,104559,RIA
549300FG738XQ4TZ2202,Maniyar Trading I L.P.,MANIYAR CAPITAL ADVISORS UK LTD.,307507,RIA
0IEAUKWE2SFAUO4V1D62,"MKP ENHANCED OPPORTUNITY MASTER FUND, LTD.","MKP CAPITAL MANAGEMENT, L.L.C.",113851,RIA
04L0CECKGPV6MIVEH709,"DISCOVERY GLOBAL OPPORTUNITY MASTER FUND, LTD.","DISCOVERY CAPITAL MANAGEMENT, LLC",161263,RIA
4LQMU9Z0AIC4ULRJDR78,"MKP OPPORTUNITY MASTER FUND, LTD.",,,
5493003SGBZI2GB3GW74,BYBROOK CAPITAL HAZELTON MASTER FUND LP,,,
54930046YB51WZEP4H43,AHL Genesis 2 Limited,AHL PARTNERS LLP,167882,
1YTX3EVB2EG3PFFYOI09,"ELLIOTT INTERNATIONAL, L.P.",ELLIOTT INVESTMENT MANAGEMENT L.P.,307151,RIA
549300G222CS2JJB6C31,LMR CCSA Master Fund Limited,LMR PARTNERS (DIFC) LIMITED,324092,ERA
LB8MUZDVKPQ7KYQ24Q87,NAPIER PARK ETON FUND LTD,NAPIER PARK GLOBAL CAPITAL LTD,157629,RIA
549300N35563VJ154B85,PAGOSA STRATEGIES (CAYMAN) SPC,WELLINGTON MANAGEMENT COMPANY LLP,106595,RIA
549300UVPZ2C1V7B7I49,AQR GLOBAL RISK PREMIUM MASTER ACCOUNT II LTD.,"AQR CAPITAL MANAGEMENT, LLC",111883,RIA
549300W2XUHLYUK0XD14,BYBROOK CAPITAL MASTER FUND LP,,,
549300RFE2VVP4UMDH24,MAN Desertwood Fund Limited,,,
254900USOBTN0G3G9321,"BWTA Trading Fund II, LP",,,
254900YDHRIVFROLV916,Man 1783 I SP,,,
549300NZYOTKFY24BB53,AQR GRPT EL Master Account Ltd.,"AQR CAPITAL MANAGEMENT, LLC",111883,RIA
PUPGOAF01KZNJXOMP054,"PHARO TRADING FUND, LTD.","PHARO MANAGEMENT, INC.",141216,RIA
AO0PGGBJM7BRF42NY258,"SCULPTOR MASTER FUND, LTD.",SCULPTOR CAPITAL LP,107913,RIA
549300X5SK1DKORKUJ95,BYBROOK CAPITAL BADMINTON 405 FUND LP,,,
549300XBW87GKKDSX320,Wellington Master Emerging Alternatives Fund (Cayman) L.P.,,,
549300QSDDQFGA14BJ61,Squarepoint Atlas Master Fund Limited,SQUAREPOINT OPS LLC,172116,RIA
